role_id,proj_all_response,proj_answer_only
survivor,-0.652273,-1.32856
swarm,-0.591187,-1.352671
symbiont,-0.721973,-1.411568
synthesizer,-0.427074,-1.199642
teacher,-0.433048,-1.220643
technologist,-0.48426,-1.213061
teenager,-0.3629,-1.15584
theorist,-0.547339,-1.277293
therapist,-0.472984,-1.236936
toddler,-0.542866,-1.196501
traditionalist,-0.976909,-1.619909
trainer,-0.55238,-1.250974
translator,-0.436695,-1.052175
tree,-1.062382,-1.682043
trickster,-0.64719,-1.291499
tulpa,-0.547393,-1.292602
tutor,-0.368914,-1.158059
validator,-0.36348,-1.111812
vampire,-1.300381,-1.867207
vegan,-0.870579,-1.462606
veteran,-0.752615,-1.419815
veterinarian,-0.745961,-1.367688
vigilante,-0.709926,-1.372985
virtuoso,-0.575976,-1.283841
virus,-0.747105,-1.412802
visionary,-0.585241,-1.325745
void,-0.885353,-1.55874
wanderer,-0.700662,-1.421134
warrior,-0.657716,-1.36845
whale,-0.820175,-1.466832
widow,-0.873591,-1.476873
wind,-0.952032,-1.59989
witch,-1.117031,-1.680693
witness,-0.46489,-1.164794
workaholic,-0.924865,-1.557324
wraith,-1.107881,-1.787465
writer,-0.509923,-1.172341
zealot,-0.681984,-1.327791
zeitgeist,-0.512107,-1.234968
