role,loro_axis_cos_vs_full_A,loro_axis_cos_vs_full_B,score_A_on_loroB,score_B_on_loroA
networker,0.9999936055533338,0.999994230791495,-0.22117979872098997,-0.5117034414598235
newlywed,0.9999412353571843,0.9999333622661801,-0.34857611192101073,-0.657724076839663
nomad,0.9999680551588461,0.9999717455063661,-0.5748476475297899,-0.7966167762961496
novelist,0.9999780176154207,0.9999823109823349,-0.6627323493311776,-0.7917067289447418
nutritionist,0.999959863103219,0.9999600971556681,-0.42455956454442634,-0.6481153217837978
observer,0.9999971148437616,0.999997522479594,-0.11648123670359066,-0.4106332781855764
optimist,0.9999890793879086,0.9999883787286282,-0.3171002316430828,-0.5699196865019354
oracle,0.9999968460263619,0.9999961487886863,-0.24322462249836554,-0.5139188824814876
organizer,0.9999931858498676,0.9999944849212006,-0.18453384457609695,-0.4305365945131616
orphan,0.9999818170268849,0.9999787163527343,-0.4355628231200289,-0.7002829375067445
pacifist,0.9999764661406225,0.9999719700065496,-0.4920888548963247,-0.7438408433236607
paramedic,0.9999721027906806,0.9999778110196136,-0.3758646318886195,-0.6024102512934987
parasite,0.999946972399504,0.9999415888164619,-0.7784251174466913,-1.0045441781234445
parent,0.9999572547424584,0.9999566344570323,-0.33592402305250346,-0.6948118565523276
patient,0.9999715717599948,0.9999731420537704,-0.2631437234145536,-0.5269429719505163
peacekeeper,0.999995036944678,0.9999955678790786,-0.16877762468657423,-0.45633108277787177
perfectionist,0.9999938367783396,0.999993575597904,-0.3036848631632215,-0.560738914227262
pharmacist,0.9999757460226005,0.9999710120082262,-0.3356805458634332,-0.6406160727707588
philosopher,0.9999924011695553,0.9999905175181465,-0.28068917333947746,-0.5414300708671035
photographer,0.9999673615168083,0.9999687451555426,-0.7371609333739376,-0.9865076545310622
physicist,0.9999799279277755,0.9999771897012477,-0.46083391284882247,-0.6965023213963056
pilgrim,0.9999778954154439,0.9999822973326431,-0.6313279080709604,-0.7873686978535384
pilot,0.9999710020018423,0.9999732234540865,-0.4998374937779739,-0.7941100635264311
pirate,0.9999283945767518,0.9999125375269136,-1.0074817300276637,-1.2461295110135884
planner,0.9999913738425515,0.9999893096781896,-0.13334434307854576,-0.4919478508983135
playwright,0.9999753612513632,0.9999673121734481,-0.5876519153287743,-0.8120960180966923
podcaster,0.9999904815598347,0.9999926725995286,-0.25890140672450973,-0.5292163975081121
poet,0.9999208651446726,0.9999050010834261,-0.8712522222554726,-1.0486509506057038
polymath,0.999995424521537,0.9999952145328751,-0.1709226188728719,-0.4505921896885562
pragmatist,0.9999904473716559,0.9999928734877104,-0.22453306176407273,-0.49184870046070117
predator,0.9999903832066999,0.9999905041680669,-0.49423814371454244,-0.7498279835875482
presenter,0.9999944537161685,0.9999930934910518,-0.19139212940509093,-0.4785214816106231
prey,0.9999734406204408,0.9999861036156107,-0.5978927589728158,-0.7274347371700142
prisoner,0.9999445814961562,0.999946184707296,-0.49946307954892566,-0.7594297116779702
procrastinator,0.9999643687166098,0.9999655869732096,-0.303113866970326,-0.6076490883273384
prodigy,0.9999963460469197,0.9999965519440717,-0.13511346940393892,-0.4622016340709464
producer,0.999989536197222,0.9999858310271859,-0.37185660119906083,-0.6648308522410524
programmer,0.9999903984600619,0.9999899587417087,-0.18838694681400264,-0.48836965696085305
proofreader,0.9999920098358273,0.9999925086218608,-0.15560349781376903,-0.3733714399109985
prophet,0.9999881020456798,0.9999910009826996,-0.5164278829617197,-0.6434292305823361
provincial,0.9999734285887277,0.999961059629952,-0.6394140621133086,-0.9006815005992859
provocateur,0.9999832977506771,0.9999821599425487,-0.4595749579500016,-0.6793057761622912
psychologist,0.9999880765759279,0.9999861004892532,-0.25878880976050683,-0.49211237063093527
publisher,0.9999863545496082,0.999989094019513,-0.3159287710188171,-0.521450426532371
purist,0.9999943162864039,0.999992453557355,-0.3771318760735958,-0.6184662070661333
realist,0.9999937446280336,0.9999946598246469,-0.1781437921608886,-0.43673105630510634
rebel,0.9999866995558939,0.9999871186742402,-0.5482387461072291,-0.7466737694917707
recruiter,0.9999794071917517,0.9999802962846699,-0.32362001577412247,-0.6028745218543605
refugee,0.999966861771199,0.9999639706278214,-0.4073322306409176,-0.7200872888633583
reporter,0.9999941167229607,0.9999944815105787,-0.20265208968708126,-0.47036900196520287
researcher,0.9999937504761515,0.9999950248165128,-0.1308248089362459,-0.37785821134409026
retiree,0.9999866074363531,0.9999813055236502,-0.3034507295758647,-0.6453630697186787
revenant,0.9999857148382116,0.9999831110168309,-0.6491243737615313,-0.8667715004448919
reviewer,0.9999941316832671,0.9999940282371508,-0.14961669062734329,-0.4269393919377035
revolutionary,0.9999784145120396,0.9999751365361226,-0.618683039001473,-0.882137236886583
robot,0.9999934223264679,0.9999870604682113,-0.2183704465262856,-0.4870970150906253
rogue,0.9999848856996836,0.9999837224097978,-0.5864034686249664,-0.8632885959452399
romantic,0.9999641337205172,0.999971330386313,-0.7838921387842843,-0.9104282485742736
saboteur,0.9999736399868543,0.9999743962004427,-0.5849084542197425,-0.8398220987592868
sage,0.9999950329388617,0.9999956206636031,-0.19823707568320975,-0.4569086738603145
scheduler,0.9999907190847206,0.9999884863757876,-0.24910155771743658,-0.5332919514037381
scholar,0.9999952708890216,0.9999957080243815,-0.15844196194172508,-0.41864871382755775
scientist,0.9999917360202056,0.9999935386719955,-0.2066138387612318,-0.44144850684030806
scout,0.9999955922542569,0.9999959014040007,-0.2459826685647112,-0.47873625814543996
screener,0.9999922990759558,0.9999927266656928,-0.1616429326905669,-0.444812940075841
secretary,0.9999865503405613,0.9999892070867732,-0.27490786208388507,-0.5186879516148009
shaman,0.9999504550941436,0.9999555898331874,-0.9839427625153474,-1.0939933235156247
shapeshifter,0.9999847337821046,0.9999849689173261,-0.5405517646068889,-0.8093773650939269
simulacrum,0.9999846467276724,0.9999824145737644,-0.4497527772064033,-0.7006321316405452
skeptic,0.9999878372059664,0.9999895762060111,-0.18014004648235976,-0.4633432751248695
smuggler,0.9999479615543545,0.9999411896314933,-0.8284909294604823,-1.0610259897635257
sociologist,0.999987993758524,0.9999873044879973,-0.30009962989126215,-0.5410648493865631
soldier,0.9999690168315241,0.9999674693116695,-0.6510563599864618,-0.8955310796254065
sommelier,0.9999578819598974,0.9999564148514088,-0.663767463729787,-0.883750284929368
specialist,0.9999958149237561,0.9999966689244568,-0.10847438726642349,-0.41494751392697604
spirit,0.9999940151368352,0.999991706134664,-0.38234476143601875,-0.6535119683720181
spy,0.9999856638195063,0.9999860839291952,-0.4365575153443855,-0.7160964594583641
statistician,0.9999802159041904,0.9999794450246843,-0.25650423183186133,-0.5259434915260334
stoic,0.9999618532991079,0.9999611917769926,-0.6508825919810055,-0.8781689313261105
strategist,0.9999920493327684,0.9999916068578272,-0.21496323167715617,-0.5094610261974919
student,0.9999950822939306,0.9999960404956167,-0.07209893606764825,-0.32826063917240245
summarizer,0.999994237307263,0.9999942515837843,-0.07221583230779961,-0.353904493659133
supervisor,0.999986610643684,0.9999811131166362,-0.20812137858331164,-0.570431469197975
surfer,0.9999784067573436,0.99997911018049,-0.5985733259796574,-0.8430699044597938
survivor,0.9999906490927207,0.9999883831890045,-0.3852560956813949,-0.6755125936324948
swarm,0.9999904614354447,0.9999884056730759,-0.3386846063851617,-0.6018699517759887
symbiont,0.9999879036083503,0.9999890941303471,-0.49144001712918667,-0.6963731026532439
synthesizer,0.9999966045588369,0.9999965376979019,-0.16514444032645417,-0.42945149645081804
teacher,0.9999944156376975,0.9999953724154748,-0.1633793724247023,-0.4073760132230436
technologist,0.9999936376333871,0.9999939230341248,-0.2135318692253565,-0.5302341967095976
teenager,0.9999659140893852,0.9999692962032789,-0.050471500674474395,-0.36711577805294315
theorist,0.9999921303286303,0.9999931260070046,-0.2953425905213456,-0.5182686209877635
therapist,0.9999908155128876,0.9999898715241391,-0.19487115596030158,-0.44111712366768563
toddler,0.9999171980665137,0.9999215716634127,-0.30569116037503197,-0.5189305929432062
traditionalist,0.9999618938265418,0.9999616355972851,-0.7617305832838808,-0.9695677006860937
trainer,0.9999881990549766,0.9999882259711659,-0.2651507279185167,-0.5326361336973064
translator,0.9999838282244458,0.999980503822937,-0.23668884001973448,-0.4742228243995035
tree,0.9999526473673843,0.9999611684791799,-0.8770587802444991,-0.9835121251296585
trickster,0.9999861703460339,0.9999816058899718,-0.42706235129491926,-0.661539298606878
tulpa,0.9999933704485472,0.9999908009453662,-0.3106839914655495,-0.5409549608564158
tutor,0.999994982284623,0.9999945043227201,-0.10319243357720795,-0.37680659822705304
validator,0.9999960589290764,0.9999960797914588,-0.100978798535639,-0.39779581171218936
vampire,0.9999255431508177,0.9999197319422373,-1.1432503961103162,-1.3439888664383244
vegan,0.9999453159268823,0.9999589703689493,-0.6306838438974147,-0.7870214879413586
veteran,0.9999797448203139,0.9999797062678865,-0.4975222099255113,-0.7234017384483669
veterinarian,0.9999601702506167,0.9999604966435106,-0.4825429237853332,-0.7493513183268347
vigilante,0.9999828342536805,0.999986112793713,-0.4803995876112575,-0.7041272746985127
virtuoso,0.9999957570825653,0.9999961538994789,-0.3255857092142447,-0.5678726192506276
virus,0.9999722896440195,0.999976728765763,-0.5360004233757798,-0.757944316165307
visionary,0.9999939922394832,0.9999935571883197,-0.32939042533740365,-0.5769537842818095
void,0.9999741939818577,0.9999655902389958,-0.7085589565005499,-0.8533684800312031
wanderer,0.9999926789833604,0.9999909443983042,-0.44503839493064346,-0.7349708579782015
warrior,0.9999943128489991,0.9999933173200389,-0.41360656997598977,-0.6269649869447419
whale,0.9999860691260216,0.999985563950325,-0.62563597589062,-0.8343790489926437
widow,0.9999372513626915,0.99993549666665,-0.5997472507385588,-0.8400766894341629
wind,0.9999714437243701,0.9999825616609033,-0.7711707907931699,-0.8394575549288659
witch,0.9999527705810236,0.999952736072419,-0.8935746792901065,-1.113906720698794
witness,0.999996496891096,0.9999964086879074,-0.22363041740316245,-0.49080817032447277
workaholic,0.9999578867044585,0.9999592826255629,-0.6372689842990942,-0.9053121968497113
wraith,0.9999569711271087,0.9999668637043132,-0.9408864822976227,-1.0579350273543715
writer,0.9999946769668752,0.9999948494137881,-0.27160767752213977,-0.5034806436523558
zealot,0.9999789778783166,0.9999841785146065,-0.5040357791454413,-0.653348815679683
zeitgeist,0.9999933788342645,0.9999906545210682,-0.2692976868697563,-0.5442338995112156
