item_id,l1_round1_label,l2_round1_label,l1_final_label,l2_final_label,l1_round1_validity,l2_round1_validity,l1_final_validity,l2_final_validity,gold_label,gold_validity,status,resolution
G162,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G163,3,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G164,3,1,3,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G165,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G166,3,1,3,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G167,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G168,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G169,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G170,1,0,1,3,ok,unjudgeable,ok,ok,0,unjudgeable,adjudicated,human_adjudicated
G171,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G172,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G173,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G174,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G175,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G176,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G177,1,1,1,1,ok,unjudgeable,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G178,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G179,3,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G180,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G181,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G182,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G183,2,3,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G184,2,1,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G185,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G186,2,1,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G187,2,1,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G188,1,1,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G189,3,1,3,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G190,2,3,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G191,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G192,3,2,3,2,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G193,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G194,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G195,1,3,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G196,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G197,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G198,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G199,3,1,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G200,3,1,3,3,ok,ok,ok,ok,3,ok,resolved,round2_converged
G201,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G202,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G203,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G204,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G205,1,2,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G206,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G207,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G208,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G209,1,0,1,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G210,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G211,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G212,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G213,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G214,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G215,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G216,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G217,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G218,2,1,1,1,ok,unjudgeable,ok,ok,1,ok,resolved,round2_converged
G219,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G220,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G221,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G222,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G223,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G224,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G225,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G226,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G227,1,2,1,1,ok,ok,ok,unjudgeable,1,ok,adjudicated,human_adjudicated
G228,2,1,2,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G229,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G230,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G231,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G232,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G233,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G234,2,1,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G235,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G236,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G237,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G238,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G239,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G240,3,2,3,0,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G241,0,0,0,0,ok,ok,ok,ok,0,ok,resolved,round1_agreement
G242,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G243,2,3,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G244,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G245,3,1,3,1,ok,ok,ok,ok,2,ok,adjudicated,human_adjudicated
G246,1,0,2,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G247,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G248,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G249,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G250,2,3,2,3,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G251,1,0,1,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G252,2,1,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G253,1,2,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G254,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G255,2,3,3,3,ok,ok,ok,unjudgeable,2,ok,adjudicated,human_adjudicated
G256,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G257,2,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G258,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G259,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G260,2,3,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G261,1,0,2,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G262,2,2,2,3,ok,unjudgeable,ok,ok,3,ok,adjudicated,human_adjudicated
G263,0,0,0,0,ok,ok,ok,ok,0,ok,resolved,round1_agreement
G264,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G265,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G266,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G267,1,2,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G268,3,1,2,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G269,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G270,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G271,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G272,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G273,2,3,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G274,2,1,2,1,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G275,3,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G276,1,0,1,0,ok,unjudgeable,ok,unjudgeable,0,unjudgeable,adjudicated,human_adjudicated
G277,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G278,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G279,1,2,1,1,ok,ok,ok,ok,1,ok,resolved,round2_converged
G280,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G281,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G282,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G283,2,1,1,2,ok,ok,ok,ok,1,ok,adjudicated,human_adjudicated
G284,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G285,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G286,2,3,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G287,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G288,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G289,2,2,2,2,ok,ok,ok,ok,2,ok,resolved,round1_agreement
G290,3,1,3,3,ok,unjudgeable,ok,ok,3,ok,resolved,round2_converged
G291,3,1,3,1,ok,ok,ok,ok,3,ok,adjudicated,human_adjudicated
G292,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G293,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G294,3,2,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G295,1,0,0,0,ok,ok,ok,ok,0,ok,resolved,round2_converged
G296,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
G297,3,3,3,3,ok,ok,ok,ok,3,ok,resolved,round1_agreement
G298,3,1,2,2,ok,ok,ok,ok,2,ok,resolved,round2_converged
G299,1,1,1,1,ok,ok,ok,ok,1,ok,resolved,round1_agreement
