role_id,proj_all_response,proj_answer_only
historian,-0.340474,-1.050656
hive,-0.247966,-1.025073
hoarder,-0.656706,-1.253234
homunculus,-0.841364,-1.47127
hybrid,-0.324732,-1.037371
idealist,-0.456512,-1.154146
immigrant,-0.52598,-1.189419
improviser,-0.124906,-0.901911
infant,-0.73921,-1.383042
influencer,-0.260183,-0.934568
instructor,-0.063248,-0.820971
interpreter,-0.097504,-0.897084
interviewer,-0.135736,-0.867635
jester,-0.452806,-1.011633
journalist,-0.162769,-0.910721
judge,-0.103596,-0.919524
lawyer,-0.302487,-0.954198
leviathan,-0.924232,-1.471615
librarian,-0.215833,-0.930699
linguist,-0.414336,-1.101003
loner,-0.499533,-1.194369
luddite,-0.855555,-1.473213
marketer,-0.405556,-1.059615
martyr,-0.67713,-1.267781
mathematician,-0.249552,-0.997316
maverick,-0.279896,-1.018975
mechanic,-0.245887,-0.987098
mediator,-0.140842,-0.935409
mentor,-0.06225,-0.846853
merchant,-0.488861,-1.137653
minimalist,-0.587206,-1.267643
moderator,-0.103583,-0.928743
musician,-0.697481,-1.357823
mycorrhizal,-0.845429,-1.459652
mystic,-0.484485,-1.191215
narcissist,-0.876074,-1.485207
narrator,-0.375348,-0.987944
naturalist,-0.47351,-1.180123
navigator,-0.086266,-0.836486
negotiator,-0.18832,-0.931191
networker,-0.199979,-0.926352
newlywed,-0.321938,-1.041437
nomad,-0.513785,-1.191545
novelist,-0.548431,-1.179625
nutritionist,-0.384336,-0.999301
observer,-0.098395,-0.89561
optimist,-0.27521,-1.007168
oracle,-0.215326,-0.972951
organizer,-0.108417,-0.880569
orphan,-0.420234,-1.085508
pacifist,-0.505041,-1.185787
paramedic,-0.297204,-0.993893
parasite,-0.814271,-1.359872
parent,-0.400832,-1.0457
patient,-0.207802,-0.931077
peacekeeper,-0.153595,-0.923259
perfectionist,-0.262834,-0.953874
pharmacist,-0.339396,-1.011686
philosopher,-0.255564,-1.024199
photographer,-0.736424,-1.313995
physicist,-0.441973,-1.172148
pilgrim,-0.516652,-1.209938
pilot,-0.511647,-1.143777
pirate,-1.071551,-1.56866
planner,-0.159674,-0.894856
playwright,-0.570017,-1.118
podcaster,-0.226714,-0.951368
poet,-0.921044,-1.233346
polymath,-0.14326,-0.92767
pragmatist,-0.160252,-0.900865
predator,-0.473908,-1.112584
presenter,-0.179991,-0.912243
prey,-0.457273,-1.067429
prisoner,-0.518943,-1.136756
procrastinator,-0.295905,-1.013429
prodigy,-0.153807,-0.924385
producer,-0.343213,-1.020218
programmer,-0.174936,-0.884464
proofreader,-0.08217,-0.877738
prophet,-0.380369,-1.098004
provincial,-0.714784,-1.259976
provocateur,-0.414384,-1.125295
psychologist,-0.190265,-0.959671
publisher,-0.223758,-0.941548
purist,-0.361636,-1.073757
realist,-0.118055,-0.88819
rebel,-0.477615,-1.206573
recruiter,-0.291937,-0.970745
refugee,-0.451946,-1.120299
reporter,-0.177867,-0.891536
researcher,-0.064611,-0.872001
retiree,-0.35707,-1.058787
revenant,-0.652284,-1.267855
reviewer,-0.115716,-0.877945
revolutionary,-0.651668,-1.28429
robot,-0.223342,-0.981782
rogue,-0.617282,-1.28635
romantic,-0.71446,-1.257178
saboteur,-0.579663,-1.211017
sage,-0.151651,-0.927128
scheduler,-0.218411,-0.928333
scholar,-0.112946,-0.911591
scientist,-0.136281,-0.888301
scout,-0.16684,-0.930067
screener,-0.139834,-0.890146
secretary,-0.217325,-0.873377
shaman,-0.865327,-1.51779
shapeshifter,-0.565841,-1.21582
simulacrum,-0.457553,-1.150047
skeptic,-0.153479,-0.915427
smuggler,-0.843451,-1.327332
sociologist,-0.274924,-1.002283
soldier,-0.638434,-1.257903
sommelier,-0.633665,-1.244026
specialist,-0.091033,-0.872042
spirit,-0.387932,-1.120605
spy,-0.44473,-1.096223
statistician,-0.225636,-0.955806
stoic,-0.625814,-1.289377
strategist,-0.192659,-0.909167
student,0.004687,-0.858266
summarizer,-0.03225,-0.824225
supervisor,-0.271438,-0.948913
surfer,-0.568796,-1.258221
survivor,-0.389013,-1.03465
swarm,-0.32374,-1.074643
symbiont,-0.437538,-1.125608
synthesizer,-0.114565,-0.905756
teacher,-0.086688,-0.868208
technologist,-0.21785,-0.965901
teenager,-0.030095,-0.876691
theorist,-0.231077,-1.010421
therapist,-0.116582,-0.90985
toddler,-0.268592,-0.930182
traditionalist,-0.762496,-1.366495
trainer,-0.213829,-0.929324
translator,-0.242485,-0.892972
tree,-0.771329,-1.437726
trickster,-0.40265,-1.054642
tulpa,-0.281243,-1.070967
tutor,-0.046734,-0.820571
validator,-0.085909,-0.873713
vampire,-1.209696,-1.725739
vegan,-0.539315,-1.169578
veteran,-0.432526,-1.140134
veterinarian,-0.481375,-1.074223
vigilante,-0.442565,-1.106303
virtuoso,-0.279479,-1.032332
virus,-0.521414,-1.187008
visionary,-0.286351,-1.044656
void,-0.678139,-1.372609
wanderer,-0.461591,-1.152234
warrior,-0.342735,-1.088792
whale,-0.603531,-1.265074
widow,-0.58264,-1.099809
wind,-0.621322,-1.287755
witch,-0.897224,-1.460487
witness,-0.198308,-0.924597
workaholic,-0.613004,-1.244969
wraith,-0.875064,-1.490616
writer,-0.216214,-0.864269
zealot,-0.420098,-1.120571
zeitgeist,-0.270646,-1.010026
