role_id,proj_all_response,proj_answer_only,proj_reasoning_only
loner,-0.499533,-1.194369,-0.2022
luddite,-0.855555,-1.473213,-0.595353
marketer,-0.405556,-1.059615,-0.065683
martyr,-0.67713,-1.267781,-0.401488
mathematician,-0.249552,-0.997316,0.086473
maverick,-0.279896,-1.018975,0.072136
mechanic,-0.245887,-0.987098,0.100475
mediator,-0.140842,-0.935409,0.240051
mentor,-0.06225,-0.846853,0.315991
merchant,-0.488861,-1.137653,-0.190254
minimalist,-0.587206,-1.267643,-0.275225
moderator,-0.103583,-0.928743,0.286091
musician,-0.697481,-1.357823,-0.372991
mycorrhizal,-0.845429,-1.459652,-0.585809
mystic,-0.484485,-1.191215,-0.134331
narcissist,-0.876074,-1.485207,-0.607758
narrator,-0.375348,-0.987944,-0.091985
naturalist,-0.47351,-1.180123,-0.142645
navigator,-0.086266,-0.836486,0.269175
negotiator,-0.18832,-0.931191,0.181862
networker,-0.199979,-0.926352,0.163979
newlywed,-0.321938,-1.041437,0.009989
nomad,-0.513785,-1.191545,-0.182395
novelist,-0.548431,-1.179625,-0.245219
nutritionist,-0.384336,-0.999301,-0.078851
observer,-0.098395,-0.89561,0.270016
optimist,-0.27521,-1.007168,0.070822
oracle,-0.215326,-0.972951,0.15674
organizer,-0.108417,-0.880569,0.272671
orphan,-0.420234,-1.085508,-0.110423
pacifist,-0.505041,-1.185787,-0.182102
paramedic,-0.297204,-0.993893,0.044428
parasite,-0.814271,-1.359872,-0.577264
parent,-0.400832,-1.0457,-0.084477
patient,-0.207802,-0.931077,0.129308
peacekeeper,-0.153595,-0.923259,0.21582
perfectionist,-0.262834,-0.953874,0.082513
pharmacist,-0.339396,-1.011686,-0.000879
philosopher,-0.255564,-1.024199,0.094186
photographer,-0.736424,-1.313995,-0.456953
physicist,-0.441973,-1.172148,-0.112974
pilgrim,-0.516652,-1.209938,-0.183317
pilot,-0.511647,-1.143777,-0.201008
pirate,-1.071551,-1.56866,-0.864191
planner,-0.159674,-0.894856,0.209543
playwright,-0.570017,-1.118,-0.291612
podcaster,-0.226714,-0.951368,0.125919
poet,-0.921044,-1.233346,-0.749192
polymath,-0.14326,-0.92767,0.234589
pragmatist,-0.160252,-0.900865,0.213609
predator,-0.473908,-1.112584,-0.178882
presenter,-0.179991,-0.912243,0.172833
prey,-0.457273,-1.067429,-0.16452
prisoner,-0.518943,-1.136756,-0.244085
procrastinator,-0.295905,-1.013429,0.018655
prodigy,-0.153807,-0.924385,0.214341
producer,-0.343213,-1.020218,-0.003113
programmer,-0.174936,-0.884464,0.18137
proofreader,-0.08217,-0.877738,0.268271
prophet,-0.380369,-1.098004,-0.049886
provincial,-0.714784,-1.259976,-0.44513
provocateur,-0.414384,-1.125295,-0.096557
psychologist,-0.190265,-0.959671,0.194048
publisher,-0.223758,-0.941548,0.119164
purist,-0.361636,-1.073757,-0.024752
realist,-0.118055,-0.88819,0.250292
rebel,-0.477615,-1.206573,-0.147016
recruiter,-0.291937,-0.970745,0.038916
refugee,-0.451946,-1.120299,-0.127671
reporter,-0.177867,-0.891536,0.168852
researcher,-0.064611,-0.872001,0.320895
retiree,-0.35707,-1.058787,-0.032668
revenant,-0.652284,-1.267855,-0.364996
reviewer,-0.115716,-0.877945,0.248638
revolutionary,-0.651668,-1.28429,-0.360774
robot,-0.223342,-0.981782,0.106494
rogue,-0.617282,-1.28635,-0.301619
romantic,-0.71446,-1.257178,-0.454277
saboteur,-0.579663,-1.211017,-0.306974
sage,-0.151651,-0.927128,0.216572
scheduler,-0.218411,-0.928333,0.116532
scholar,-0.112946,-0.911591,0.277934
scientist,-0.136281,-0.888301,0.235103
scout,-0.16684,-0.930067,0.18746
screener,-0.139834,-0.890146,0.222781
secretary,-0.217325,-0.873377,0.091936
shaman,-0.865327,-1.51779,-0.56434
shapeshifter,-0.565841,-1.21582,-0.258732
simulacrum,-0.457553,-1.150047,-0.151688
skeptic,-0.153479,-0.915427,0.209816
smuggler,-0.843451,-1.327332,-0.626428
sociologist,-0.274924,-1.002283,0.091298
soldier,-0.638434,-1.257903,-0.355933
sommelier,-0.633665,-1.244026,-0.336402
specialist,-0.091033,-0.872042,0.292442
spirit,-0.387932,-1.120605,-0.042894
spy,-0.44473,-1.096223,-0.131488
statistician,-0.225636,-0.955806,0.12437
stoic,-0.625814,-1.289377,-0.312857
strategist,-0.192659,-0.909167,0.16514
student,0.004687,-0.858266,0.402844
summarizer,-0.03225,-0.824225,0.336016
supervisor,-0.271438,-0.948913,0.056357
surfer,-0.568796,-1.258221,-0.255123
survivor,-0.389013,-1.03465,-0.085084
swarm,-0.32374,-1.074643,0.015436
symbiont,-0.437538,-1.125608,-0.13402
synthesizer,-0.114565,-0.905756,0.268617
teacher,-0.086688,-0.868208,0.282992
technologist,-0.21785,-0.965901,0.137224
teenager,-0.030095,-0.876691,0.324721
theorist,-0.231077,-1.010421,0.129358
therapist,-0.116582,-0.90985,0.270826
toddler,-0.268592,-0.930182,0.020644
traditionalist,-0.762496,-1.366495,-0.463236
trainer,-0.213829,-0.929324,0.135523
translator,-0.242485,-0.892972,0.067731
tree,-0.771329,-1.437726,-0.476884
trickster,-0.40265,-1.054642,-0.111438
tulpa,-0.281243,-1.070967,0.067479
tutor,-0.046734,-0.820571,0.331492
validator,-0.085909,-0.873713,0.28354
vampire,-1.209696,-1.725739,-0.985266
vegan,-0.539315,-1.169578,-0.23129
veteran,-0.432526,-1.140134,-0.117118
veterinarian,-0.481375,-1.074223,-0.168029
vigilante,-0.442565,-1.106303,-0.128443
virtuoso,-0.279479,-1.032332,0.068946
virus,-0.521414,-1.187008,-0.219007
visionary,-0.286351,-1.044656,0.078365
void,-0.678139,-1.372609,-0.394508
wanderer,-0.461591,-1.152234,-0.136039
warrior,-0.342735,-1.088792,0.003517
whale,-0.603531,-1.265074,-0.308347
widow,-0.58264,-1.099809,-0.325234
wind,-0.621322,-1.287755,-0.309392
witch,-0.897224,-1.460487,-0.621471
witness,-0.198308,-0.924597,0.153824
workaholic,-0.613004,-1.244969,-0.335176
wraith,-0.875064,-1.490616,-0.60078
writer,-0.216214,-0.864269,0.091871
zealot,-0.420098,-1.120571,-0.104943
zeitgeist,-0.270646,-1.010026,0.075056
